,Index,Lender name,Rate type,Initial rate,Initial Period,Ongoing rate,Ending Loan,Interest Paid,Capital Paid,Overpayments,Fee,Total costs (excl. capital)
0,555,TSB Intermediary ,Fixed,2.44,60,4.84,70397.76423028563,10397.764230285595,28602.235769714374,15714.697813008488,1995.0,12392.764230285595
0,475,BM Solutions,Fixed,2.06,36,4.84,71119.72214035335,11119.722140353317,27880.277859646652,16293.760834002345,1290.0,12409.722140353317
0,49,Post Office,Fixed,1.97,36,4.99,70724.70082859947,10724.700828599489,28275.299171400533,16566.428458074435,1690.0,12414.700828599489
0,451,NatWest Intermediary Solutions,Fixed,1.92,24,4.49,71422.7787345072,11422.778734507207,27577.2212654928,16428.744404344667,995.0,12417.778734507207
0,266,Royal Bank of Scotland,Fixed,2.88,60,3.99,72419.98137326201,12419.981373261995,26580.01862673799,14339.508773855387,0.0,12419.981373261995
0,267,NatWest,Fixed,2.88,60,4.49,72419.98137326201,12419.981373261995,26580.01862673799,14339.508773855387,0.0,12419.981373261995
0,667,Royal Bank of Scotland,Fixed,2.88,60,3.99,72419.98137326201,12419.981373261995,26580.01862673799,14339.508773855387,0.0,12419.981373261995
0,668,NatWest,Fixed,2.88,60,4.49,72419.98137326201,12419.981373261995,26580.01862673799,14339.508773855387,0.0,12419.981373261995
0,260,Post Office,Fixed,2.84,60,4.99,72234.19555691302,12234.195556913002,26765.804443086978,14466.373029476516,195.0,12429.195556913002
0,430,Platform,Fixed,1.69,24,4.74,70438.15792254022,10438.157922540218,28561.842077459776,17111.84034069088,1999.0,12437.157922540218
0,79,Skipton Building Society,Fixed,2.13,36,4.94,71443.95580996717,11443.955809967154,27556.04419003283,16068.073560090932,995.0,12438.955809967154
0,485,Skipton Building Society,Fixed,2.13,36,4.94,71443.95580996717,11443.955809967154,27556.04419003283,16068.073560090932,995.0,12438.955809967154
0,145,BM Solutions,Fixed,2.39,60,4.84,70170.92727606802,10170.927276068072,28829.072723931982,15868.120522114366,2290.0,12460.927276068072
0,47,NatWest Intermediary Solutions,Fixed,1.93,24,4.49,71467.42501397627,11467.425013976273,27532.574986023727,16397.497691986096,995.0,12462.425013976273
0,270,The Mortgage Works,Fixed,2.89,60,4.49,72466.4891561817,12466.489156181704,26533.510843818294,14307.735422363832,0.0,12466.489156181704
0,271,TSB,Fixed,2.89,60,4.84,72466.4891561817,12466.489156181704,26533.510843818294,14307.735422363832,0.0,12466.489156181704
0,272,TSB Intermediary ,Fixed,2.89,60,4.84,72466.4891561817,12466.489156181704,26533.510843818294,14307.735422363832,0.0,12466.489156181704
0,273,Skipton Building Society,Fixed,2.89,60,4.94,72466.4891561817,12466.489156181704,26533.510843818294,14307.735422363832,0.0,12466.489156181704
0,671,The Mortgage Works,Fixed,2.89,60,4.49,72466.4891561817,12466.489156181704,26533.510843818294,14307.735422363832,0.0,12466.489156181704
0,672,TSB,Fixed,2.89,60,4.84,72466.4891561817,12466.489156181704,26533.510843818294,14307.735422363832,0.0,12466.489156181704
0,673,TSB Intermediary ,Fixed,2.89,60,4.84,72466.4891561817,12466.489156181704,26533.510843818294,14307.735422363832,0.0,12466.489156181704
